Record ID#,Spacecraft Name,Launch Code (Using Record ID)
245,3ECOM-1 21,
246,3ECOM-1 22,
247,3ECOM-1 23,
248,3ECOM-1 24,
249,3ECOM-1 25,
250,3ECOM-1 26,
251,3ECOM-1 27,
252,3ECOM-1 28,
253,3ECOM-1 29,
254,3ECOM-1 3,
255,3ECOM-1 30,
256,3ECOM-1 31,
257,3ECOM-1 32,
258,3ECOM-1 33,
259,3ECOM-1 34,
260,3ECOM-1 35,
261,3ECOM-1 36,
262,3ECOM-1 37,
263,3ECOM-1 38,
264,3ECOM-1 39,
265,3ECOM-1 4,
266,3ECOM-1 40,
267,3ECOM-1 41,
268,3ECOM-1 42,
269,3ECOM-1 43,
270,3ECOM-1 44,
271,3ECOM-1 45,
272,3ECOM-1 46,
273,3ECOM-1 47,
274,3ECOM-1 5,
275,3ECOM-1 6,
276,3ECOM-1 7,
277,3ECOM-1 8,
278,3ECOM-1 9,
279,425 Project 1,
280,425 Project 2,
281,425 Project 3,
282,425 Project 4,
283,425 Project 5,
284,4piSat 1,
285,4piSat 10,
286,4piSat 11,
287,4piSat 12,
288,4piSat 13,
289,4piSat 14,
290,4piSat 15,
291,4piSat 16,
292,4piSat 2,
293,4piSat 3,
294,4piSat 4,
295,4piSat 5,
296,4piSat 6,
297,4piSat 7,
298,4piSat 8,
299,4piSat 9,
300,ABS 8 (PROJECTION),
301,Academic Cubesat 1,
302,Academic Cubesat 10,
303,Academic Cubesat 11,
304,Academic Cubesat 12,
305,Academic Cubesat 13,
306,Academic Cubesat 14,
307,Academic Cubesat 15,
308,Academic Cubesat 16,
309,Academic Cubesat 17,
310,Academic Cubesat 18,
311,Academic Cubesat 19,
312,Academic Cubesat 2,
313,Academic Cubesat 20,
314,Academic Cubesat 3,
315,Academic Cubesat 4,
316,Academic Cubesat 5,
317,Academic Cubesat 6,
318,Academic Cubesat 7,
319,Academic Cubesat 8,
320,Academic Cubesat 9,
321,Academic Microsat 1,
322,Academic Microsat 10,
323,Academic Microsat 11,
324,Academic Microsat 12,
325,Academic Microsat 13,
326,Academic Microsat 2,
327,Academic Microsat 3,
328,Academic Microsat 4,
329,Academic Microsat 5,
330,Academic Microsat 6,
331,Academic Microsat 7,
332,Academic Microsat 8,
333,Academic Microsat 9,
334,Academic microsats - 2023,
335,Academic microsats - 2025,
336,Academic microsats - 2027,
337,Academic microsats - 2029,
338,Academic microsats - 2031,
339,Academy sat 2,
340,Academy sat 3,
341,Academy sat 4,
342,Academy sat 5,
343,ACS3,
344,Aditya-L1,
345,Adras-J,
346,AEHF 7,
347,AEHF+ESS (Evolved Strategic Satcom - AEHF follow-on) Demo 1,
348,AEHF+ESS (Evolved Strategic Satcom - AEHF follow-on) Demo 2,
349,AEHF+ESS (Evolved Strategic Satcom - AEHF follow-on) Demo 3,
350,Aeolus 2 ,
351,AEPEX,
352,Aerial and Maritime 1,
353,Aerial and Maritime 10,
354,Aerial and Maritime 11,
355,Aerial and Maritime 12,
356,Aerial and Maritime 13,
357,Aerial and Maritime 14,
358,Aerial and Maritime 15,
359,Aerial and Maritime 16,
360,Aerial and Maritime 2,
361,Aerial and Maritime 3,
362,Aerial and Maritime 4,
363,Aerial and Maritime 5,
364,Aerial and Maritime 6,
365,Aerial and Maritime 7,
366,Aerial and Maritime 8,
367,Aerial and Maritime 9,
368,"Aerosols, Clouds, Convection, and Precipitation 1",
369,"Aerosols, Clouds, Convection, and Precipitation 2",
370,Aerospacelab 1,
371,Aerospacelab 1 - HR1,
372,Aerospacelab 2,
373,Aerospacelab 2 - HR1,
374,Aerospacelab 3,
375,Aerospacelab 3 - HR1,
376,Aerospacelab 4,
377,Aerospacelab 4 - HR1,
378,Aerospacelab 5,
379,Aerospacelab 5 - HR1,
380,AfDev-SAT,
381,AFNIO 1,
382,AFNIO 10,
383,AFNIO 11,
384,AFNIO 12,
385,AFNIO 13,
386,AFNIO 14,
387,AFNIO 15,
388,AFNIO 16,
389,AFNIO 17,
390,AFNIO 18,
391,AFNIO 19,
392,AFNIO 2,
393,AFNIO 20,
394,AFNIO 21,
395,AFNIO 22,
396,AFNIO 23,
397,AFNIO 24,
398,AFNIO 25,
399,AFNIO 26,
400,AFNIO 27,
401,AFNIO 28,
402,AFNIO 29,
403,AFNIO 3,
404,AFNIO 30,
405,AFNIO 31,
406,AFNIO 32,
407,AFNIO 33,
408,AFNIO 34,
409,AFNIO 35,
410,AFNIO 36,
411,AFNIO 37,
412,AFNIO 38,
413,AFNIO 39,
414,AFNIO 4,
415,AFNIO 40,
416,AFNIO 41,
417,AFNIO 42,
418,AFNIO 43,
419,AFNIO 44,
420,AFNIO 45,
421,AFNIO 46,
422,AFNIO 47,
423,AFNIO 48,
424,AFNIO 49,
425,AFNIO 5,
426,AFNIO 50,
427,AFNIO 51,
428,AFNIO 52,
429,AFNIO 53,
430,AFNIO 54,
431,AFNIO 55,
432,AFNIO 56,
433,AFNIO 57,
434,AFNIO 58,
435,AFNIO 59,
436,AFNIO 6,
437,AFNIO 60,
438,AFNIO 61,
439,AFNIO 62,
440,AFNIO 63,
441,AFNIO 64,
442,AFNIO 65,
443,AFNIO 66,
444,AFNIO 67,
445,AFNIO 68,
446,AFNIO 69,
447,AFNIO 7,
448,AFNIO 70,
449,AFNIO 71,
450,AFNIO 72,
451,AFNIO 8,
